folder,file,phase,iteration,input_len,kvcache,modality,bandwidth,arcc,direction,mean_ttft_ms,std_ttft_ms,mean_itl_ms,total_token_throughput
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,3,10000,disk-400g,Local Disk,400g,Y,N/A,570.0074839987792,250.312949318305,43.852252298141046,88452.82125387093
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,1,50000,disk-400g,Local Disk,400g,Y,N/A,86384.92833639975,47129.64827123951,1855.7722098587892,5053.252329047919
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,2,50000,disk-400g,Local Disk,400g,Y,N/A,18210.013396949216,9279.714874855821,198.5057740552462,35200.71092842289
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,3,50000,disk-400g,Local Disk,400g,Y,N/A,5462.260861300456,2332.776731113812,124.29830674585261,91122.96138946892
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,1,100000,disk-400g,Local Disk,400g,Y,N/A,248356.60646599936,137719.6670274519,4162.2026539315175,3638.054631712673
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,2,100000,disk-400g,Local Disk,400g,Y,N/A,67561.35271969906,29824.908622419796,572.6455352132784,15713.795673028411
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,3,100000,disk-400g,Local Disk,400g,Y,N/A,53443.48899414981,27324.992961635693,526.2970337355185,18743.194599019953
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,1,100,none,HBM,N/A,N,N/A,806.7768275999697,405.9189067003413,34.27208985664468,1038.808567483045
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,2,100,none,HBM,N/A,N,N/A,203.30064610025147,61.032767103343474,31.70387096415702,1620.150164822671
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,3,100,none,HBM,N/A,N,N/A,203.4320758517424,61.08588793816117,31.501875639553063,1634.7571784616998
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,1,1000,none,HBM,N/A,N,N/A,1025.7020950492006,528.0464054767473,93.6630174557589,5081.177436724039
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,2,1000,none,HBM,N/A,N,N/A,890.0279947985837,476.52855480569934,61.08436344026235,6780.059515300221
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,3,1000,none,HBM,N/A,N,N/A,901.5011615032563,458.57392226356694,55.79226832584906,6852.403772934478
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,1,10000,none,HBM,N/A,N,N/A,8268.352196300111,5348.580645143038,522.7459425096177,8813.091926100502
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,2,10000,none,HBM,N/A,N,N/A,8266.565235400049,5348.417248118013,522.7447230871549,8814.221779450902
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,3,10000,none,HBM,N/A,N,N/A,8266.030207700533,5347.873089202324,534.665279812838,8818.796464378944
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,1,50000,none,HBM,N/A,N,N/A,100721.7080192997,47861.8634222013,1566.2633223481175,4678.655671315489
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,2,50000,none,HBM,N/A,N,N/A,100685.87699874915,47861.129907324896,1566.0268833175235,4679.793415523738
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,3,50000,none,HBM,N/A,N,N/A,100688.94088389789,47859.41612446466,1561.7066404110421,4679.7774758200585
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,1,100000,none,HBM,N/A,N,N/A,332792.687807147,163680.10422946647,2357.029852785802,2925.6748908568366
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,2,100000,none,HBM,N/A,N,N/A,332794.2326017008,163683.46453424596,2357.0904673095492,2925.528475718874
benchmark_result_0822,ds-0822-no-kvcache.json,prefill,3,100000,none,HBM,N/A,N,N/A,332688.1784448022,163622.49487443903,2339.126411079753,2926.4088519284523
benchmark_result_0822,ds-0822-cpu.json,prefill,1,100,cpu,CPU,N/A,N,N/A,831.1633944984351,422.5049809816639,36.086194234731664,1003.6814274145291
benchmark_result_0822,ds-0822-cpu.json,prefill,2,100,cpu,CPU,N/A,N,N/A,90.50419880077243,21.33265174812572,31.94778846311812,1850.9379548342504
benchmark_result_0822,ds-0822-cpu.json,prefill,3,100,cpu,CPU,N/A,N,N/A,89.47829250100767,21.580480685446446,31.60304808682811,1868.0101278378281
benchmark_result_0822,ds-0822-cpu.json,prefill,1,1000,cpu,CPU,N/A,N,N/A,987.2549891515519,530.6923096651366,94.78225232788795,5009.673639608365
benchmark_result_0822,ds-0822-cpu.json,prefill,2,1000,cpu,CPU,N/A,N,N/A,133.85920215005171,40.41794625759823,32.854747110430324,15140.379610163947
benchmark_result_0822,ds-0822-cpu.json,prefill,3,1000,cpu,CPU,N/A,N,N/A,133.23898859962355,40.51589980867289,33.018895019881,15080.337071562593
benchmark_result_0822,ds-0822-cpu.json,prefill,1,10000,cpu,CPU,N/A,N,N/A,7474.853107200761,4963.483650772676,539.1527774342396,9085.585538244208
benchmark_result_0822,ds-0822-cpu.json,prefill,2,10000,cpu,CPU,N/A,N,N/A,579.3464415997732,253.46015980786675,43.78703717673448,88291.26291866101
benchmark_result_0822,ds-0822-cpu.json,prefill,3,10000,cpu,CPU,N/A,N,N/A,578.2356382485887,253.1928183145848,43.62169968320433,88426.36308120693
benchmark_result_0822,ds-0822-cpu.json,prefill,1,50000,cpu,CPU,N/A,N,N/A,84412.22329690136,45375.28641652889,1674.176564292306,5226.801246479663
benchmark_result_0822,ds-0822-cpu.json,prefill,2,50000,cpu,CPU,N/A,N,N/A,95155.10751525071,51818.89686614523,1556.065434538046,4831.789099116777
benchmark_result_0822,ds-0822-cpu.json,prefill,3,50000,cpu,CPU,N/A,N,N/A,95490.96663050295,52299.28814519006,1533.1246248292753,4829.781729794742
benchmark_result_0822,ds-0822-cpu.json,prefill,1,100000,cpu,CPU,N/A,N,N/A,303691.5503233489,174119.41564794315,2295.449369145665,3087.316258170253
benchmark_result_0822,ds-0822-cpu.json,prefill,2,100000,cpu,CPU,N/A,N,N/A,313273.80833780114,176830.55558045735,2284.058391416568,3035.5710879688977
benchmark_result_0822,ds-0822-cpu.json,prefill,3,100000,cpu,CPU,N/A,N,N/A,312586.04267799965,176079.13272271352,2325.5015112458227,3033.653099522217
benchmark_result_0822,ds-0825-arcc-gds-400g.json,prefill,1,100,gds-400g,GDS,400g,Y,N/A,956.9332931539975,476.9500566279245,47.41506248890226,818.4618533768123
benchmark_result_0822,ds-0825-arcc-gds-400g.json,prefill,2,100,gds-400g,GDS,400g,Y,N/A,376.1227328592213,158.9066895667731,42.95930071292739,1157.8456130399861
benchmark_result_0822,ds-0825-arcc-gds-400g.json,prefill,3,100,gds-400g,GDS,400g,Y,N/A,110.99422075494658,27.307442239181345,41.45517697907053,1449.7872178961072
benchmark_result_0822,ds-0825-arcc-gds-400g.json,prefill,1,1000,gds-400g,GDS,400g,Y,N/A,1520.377524147625,952.3370293492688,88.75521396862734,4242.274472458174
benchmark_result_0822,ds-0825-arcc-gds-400g.json,prefill,2,1000,gds-400g,GDS,400g,Y,N/A,1735.3736707009375,766.5511198722149,48.55256200029735,4809.949065910531
benchmark_result_0822,ds-0825-arcc-gds-400g.json,prefill,3,1000,gds-400g,GDS,400g,Y,N/A,253.89419294660908,92.31205725924781,42.2655433211108,10975.878799709819
benchmark_result_0822,ds-0825-arcc-gds-400g.json,prefill,1,10000,gds-400g,GDS,400g,Y,N/A,12747.879780057701,8355.743666375267,819.8597894103739,5696.026343973394
benchmark_result_0822,ds-0825-arcc-gds-400g.json,prefill,2,10000,gds-400g,GDS,400g,Y,N/A,16011.570361300255,7359.77176653326,112.31326779249541,7414.0479068565655
